,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
227,lab,supervisor,gest_verb,follow-me,fused,22,lab,1.0
228,lab,supervisor,gest_verb,follow-me,clip,21,lab,1.0
229,lab,supervisor,gest_verb,follow-me,audio,24,lab,1.0
230,lab,supervisor,gest_verb,follow-me,fused,23,lab,1.0
231,lab,supervisor,gest_verb,follow-me,audio,25,lab,1.0
232,lab,supervisor,gest_verb,follow-me,clip,22,lab,1.0
233,lab,supervisor,gest_verb,follow-me,fused,24,lab,1.0
234,lab,supervisor,gest_verb,follow-me,audio,26,lab,1.0
235,lab,supervisor,gest_verb,follow-me,clip,23,lab,1.0
236,lab,supervisor,gest_verb,follow-me,fused,25,lab,1.0
237,lab,supervisor,gest_verb,follow-me,audio,27,lab,1.0
238,lab,supervisor,gest_verb,follow-me,clip,24,lab,1.0
239,lab,supervisor,gest_verb,follow-me,fused,26,lab,1.0
240,lab,supervisor,gest_verb,follow-me,audio,28,lab,1.0
241,lab,supervisor,gest_verb,follow-me,clip,25,lab,1.0
242,lab,supervisor,gest_verb,follow-me,fused,27,lab,1.0
243,lab,supervisor,gest_verb,follow-me,audio,29,lab,1.0
244,lab,supervisor,gest_verb,follow-me,clip,26,lab,1.0
245,lab,supervisor,gest_verb,follow-me,fused,28,lab,1.0
246,lab,supervisor,gest_verb,follow-me,audio,30,lab,1.0
247,lab,supervisor,gest_verb,follow-me,clip,27,lab,1.0
248,lab,supervisor,gest_verb,follow-me,fused,29,lab,1.0
249,lab,supervisor,gest_verb,rally,fused,1,lab,0.7907831132503584
250,lab,supervisor,gest_verb,rally,audio,1,lab,0.28527501613602485
251,lab,supervisor,gest_verb,rally,audio,2,lab,0.4582558077236308
252,lab,supervisor,gest_verb,rally,clip,1,lab,0.42663191815787516
253,lab,supervisor,gest_verb,rally,audio,3,lab,0.7907001356556891
254,lab,supervisor,gest_verb,rally,fused,2,lab,0.9415467057112497
255,lab,supervisor,gest_verb,rally,audio,4,lab,0.9175804831521
256,lab,supervisor,gest_verb,rally,clip,2,lab,0.8249886025803281
257,lab,supervisor,gest_verb,rally,fused,3,lab,0.9839475107008632
258,lab,supervisor,gest_verb,rally,audio,5,lab,0.9676540759606713
259,lab,supervisor,gest_verb,rally,clip,3,lab,0.9801868395585307
260,lab,supervisor,gest_verb,rally,fused,4,lab,0.9935326109522429
261,lab,supervisor,gest_verb,rally,clip,4,lab,0.9965493771366826
262,lab,supervisor,gest_verb,rally,fused,5,lab,0.9982208064933891
263,lab,supervisor,gest_verb,rally,audio,6,lab,0.988602385717712
264,lab,supervisor,gest_verb,rally,clip,5,lab,0.9991997155371127
265,lab,supervisor,gest_verb,rally,fused,6,lab,0.9993107905757521
266,lab,supervisor,gest_verb,rally,audio,7,lab,0.9974563157603233
267,lab,supervisor,gest_verb,rally,fused,7,lab,0.9997896952380616
268,lab,supervisor,gest_verb,rally,clip,6,lab,0.9999398253801038
269,lab,supervisor,gest_verb,rally,audio,8,lab,0.9936305554637846
270,lab,supervisor,gest_verb,rally,audio,9,lab,0.9971853318589632
271,lab,supervisor,gest_verb,rally,fused,8,lab,0.9999354142182187
272,lab,supervisor,gest_verb,rally,clip,7,lab,0.9999936835508867
273,lab,supervisor,gest_verb,rally,audio,10,lab,0.9987684088430083
274,lab,supervisor,gest_verb,rally,fused,9,lab,0.9999926207128504
275,lab,supervisor,gest_verb,rally,clip,8,lab,0.999999295958459
276,lab,supervisor,gest_verb,rally,fused,10,lab,0.999997045379418
277,lab,supervisor,gest_verb,rally,audio,11,lab,0.9988088687669778
278,lab,supervisor,gest_verb,rally,clip,9,lab,0.9999998528767883
279,lab,supervisor,gest_verb,rally,audio,12,lab,0.9994945662948901
280,lab,supervisor,gest_verb,rally,fused,11,lab,0.9999994187775274
281,lab,supervisor,gest_verb,rally,clip,10,lab,0.9999999320191628
282,lab,supervisor,gest_verb,rally,audio,13,lab,0.9998312588027899
283,lab,supervisor,gest_verb,rally,fused,12,lab,0.9999997933673723
284,lab,supervisor,gest_verb,rally,clip,11,lab,0.9999999708218775
285,lab,supervisor,gest_verb,rally,fused,13,lab,0.9999999396861281
286,lab,supervisor,gest_verb,rally,audio,14,lab,0.9999828784714656
287,lab,supervisor,gest_verb,rally,clip,12,lab,0.9999999991061952
288,lab,supervisor,gest_verb,rally,fused,14,lab,0.9999999928965522
289,lab,supervisor,gest_verb,rally,audio,15,lab,0.9999922653822508
290,lab,supervisor,gest_verb,rally,clip,13,lab,0.9999999999409689
291,lab,supervisor,gest_verb,rally,audio,16,lab,0.9999965372840567
292,lab,supervisor,gest_verb,rally,fused,15,lab,0.9999999994749257
293,lab,supervisor,gest_verb,rally,clip,14,lab,0.9999999999925807
294,lab,supervisor,gest_verb,rally,audio,17,lab,0.9999994504765066
295,lab,supervisor,gest_verb,rally,fused,16,lab,0.999999999914126
296,lab,supervisor,gest_verb,rally,clip,15,lab,0.9999999999986299
297,lab,supervisor,gest_verb,rally,audio,18,lab,0.9999992677896044
298,lab,supervisor,gest_verb,rally,fused,17,lab,0.9999999999846304
299,lab,supervisor,gest_verb,rally,audio,19,lab,0.9999998722278012
300,lab,supervisor,gest_verb,rally,clip,16,lab,0.9999999999997052
301,lab,supervisor,gest_verb,rally,fused,18,lab,0.9999999999972952
302,lab,supervisor,gest_verb,rally,audio,20,lab,0.999999979369817
303,lab,supervisor,gest_verb,rally,clip,17,lab,0.9999999999999726
304,lab,supervisor,gest_verb,rally,fused,19,lab,0.999999999999748
305,lab,supervisor,gest_verb,rally,audio,21,lab,0.9999999975274315
306,lab,supervisor,gest_verb,rally,clip,18,lab,0.9999999999999954
307,lab,supervisor,gest_verb,rally,fused,20,lab,0.9999999999999697
308,lab,supervisor,gest_verb,rally,audio,22,lab,0.9999999989602382
309,lab,supervisor,gest_verb,rally,clip,19,lab,0.9999999999999994
310,lab,supervisor,gest_verb,rally,fused,21,lab,0.9999999999999958
311,lab,supervisor,gest_verb,rally,audio,23,lab,0.999999999696528
312,lab,supervisor,gest_verb,rally,clip,20,lab,1.0
313,lab,supervisor,gest_verb,rally,fused,22,lab,0.9999999999999988
314,lab,supervisor,gest_verb,rally,audio,24,lab,0.9999999999552025
315,lab,supervisor,gest_verb,rally,clip,21,lab,1.0
316,lab,supervisor,gest_verb,rally,fused,23,lab,0.9999999999999997
317,lab,supervisor,gest_verb,rally,audio,25,lab,0.9999999999899053
318,lab,supervisor,gest_verb,rally,clip,22,lab,1.0
319,lab,supervisor,gest_verb,rally,fused,24,lab,1.0
320,lab,supervisor,gest_verb,rally,audio,26,lab,0.9999999999987715
321,lab,supervisor,gest_verb,rally,clip,23,lab,1.0
322,lab,supervisor,gest_verb,rally,fused,25,lab,1.0
323,lab,supervisor,gest_verb,rally,audio,27,lab,0.9999999999997934
324,lab,supervisor,gest_verb,rally,clip,24,lab,1.0
325,lab,supervisor,gest_verb,rally,fused,26,lab,1.0
326,lab,supervisor,gest_verb,rally,audio,28,lab,0.9999999999999784
327,lab,supervisor,gest_verb,rally,fused,27,lab,1.0
328,lab,supervisor,gest_verb,rally,clip,25,lab,1.0
329,lab,supervisor,gest_verb,rally,audio,29,lab,0.999999999999997
330,lab,supervisor,gest_verb,rally,fused,28,lab,1.0
331,lab,supervisor,gest_verb,rally,clip,26,lab,1.0
332,lab,supervisor,gest_verb,rally,audio,30,lab,0.9999999999999997
333,lab,supervisor,gest_verb,rally,fused,29,lab,1.0
334,lab,supervisor,gest_verb,rally,clip,27,lab,1.0
335,lab,supervisor,gest_verb,halt,fused,1,lab,0.8382298013565463
336,lab,supervisor,gest_verb,halt,fused,2,lab,0.9597429043443098
337,lab,supervisor,gest_verb,halt,audio,1,lab,0.5732560403026824
338,lab,supervisor,gest_verb,halt,audio,2,lab,0.8383471928456693
339,lab,supervisor,gest_verb,halt,clip,1,lab,0.5825152831004021
340,lab,supervisor,gest_verb,halt,fused,3,lab,0.9890602565450746
341,lab,supervisor,gest_verb,halt,audio,3,lab,0.9682564642837885
342,lab,supervisor,gest_verb,halt,clip,2,lab,0.9558767112905897
343,lab,supervisor,gest_verb,halt,fused,4,lab,0.9993158218317837
344,lab,supervisor,gest_verb,halt,audio,4,lab,0.9869083434307383
345,lab,supervisor,gest_verb,halt,fused,5,lab,0.9997340616694578
346,lab,supervisor,gest_verb,halt,clip,3,lab,0.9957794705456228
347,lab,supervisor,gest_verb,halt,audio,5,lab,0.9976566796138477
348,lab,supervisor,gest_verb,halt,fused,6,lab,0.9999769149989562
349,lab,supervisor,gest_verb,halt,clip,4,lab,0.9988141527770126
350,lab,supervisor,gest_verb,halt,audio,6,lab,0.9993928143016715
351,lab,supervisor,gest_verb,halt,fused,7,lab,0.9999940697454086
352,lab,supervisor,gest_verb,halt,audio,7,lab,0.9997718699606947
353,lab,supervisor,gest_verb,halt,clip,5,lab,0.9996071668753337
354,lab,supervisor,gest_verb,halt,fused,8,lab,0.9999978122368847
355,lab,supervisor,gest_verb,halt,audio,8,lab,0.9998876130422873
356,lab,supervisor,gest_verb,halt,clip,6,lab,0.999828022776226
357,lab,supervisor,gest_verb,halt,fused,9,lab,0.9999989144892891
358,lab,supervisor,gest_verb,halt,audio,9,lab,0.9998635499210747
359,lab,supervisor,gest_verb,halt,clip,7,lab,0.999983341089357
360,lab,supervisor,gest_verb,halt,fused,10,lab,0.9999998983292844
361,lab,supervisor,gest_verb,halt,audio,10,lab,0.9999924059089701
362,lab,supervisor,gest_verb,halt,clip,8,lab,0.9999977823093763
363,lab,supervisor,gest_verb,halt,fused,11,lab,0.9999999937910414
364,lab,supervisor,gest_verb,halt,audio,11,lab,0.9999987673141264
365,lab,supervisor,gest_verb,halt,clip,9,lab,0.9999997032864002
366,lab,supervisor,gest_verb,halt,fused,12,lab,0.9999999991337251
367,lab,supervisor,gest_verb,halt,audio,12,lab,0.9999998900945996
368,lab,supervisor,gest_verb,halt,clip,10,lab,0.9999999347035757
369,lab,supervisor,gest_verb,halt,fused,13,lab,0.9999999999203281
370,lab,supervisor,gest_verb,halt,audio,13,lab,0.9999999911885035
371,lab,supervisor,gest_verb,halt,clip,11,lab,0.9999999865847244
372,lab,supervisor,gest_verb,halt,fused,14,lab,0.9999999999843229
373,lab,supervisor,gest_verb,halt,audio,14,lab,0.9999999996857449
374,lab,supervisor,gest_verb,halt,clip,12,lab,0.9999999986882848
375,lab,supervisor,gest_verb,halt,fused,15,lab,0.999999999999192
