,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
247,lab,supervisor,gest_verb,follow-me,clip,26,lab,0.9799847210673535
248,lab,supervisor,gest_verb,follow-me,fused,28,lab,0.9999999999873684
249,lab,supervisor,gest_verb,follow-me,audio,30,lab,1.0
250,lab,supervisor,gest_verb,follow-me,clip,27,lab,0.982632490636348
251,lab,supervisor,gest_verb,follow-me,fused,29,lab,0.9999999999982677
252,lab,supervisor,gest_verb,rally,fused,1,lab,0.5345278121568502
253,lab,supervisor,gest_verb,rally,audio,1,lab,0.6669232584380658
254,lab,supervisor,gest_verb,rally,audio,2,lab,0.6254399127644737
255,lab,supervisor,gest_verb,rally,clip,1,lab,0.5298001363240965
256,lab,supervisor,gest_verb,rally,audio,3,lab,0.8925517555789807
257,lab,supervisor,gest_verb,rally,fused,2,lab,0.8421914520738003
258,lab,supervisor,gest_verb,rally,audio,4,lab,0.9703105649194326
259,lab,supervisor,gest_verb,rally,clip,2,lab,0.565089303376318
260,lab,supervisor,gest_verb,rally,fused,3,lab,0.8571805005822674
261,lab,supervisor,gest_verb,rally,audio,5,lab,0.9927029134248911
262,lab,supervisor,gest_verb,rally,clip,3,lab,0.6010401678878685
263,lab,supervisor,gest_verb,rally,fused,4,lab,0.957315595346734
264,lab,supervisor,gest_verb,rally,clip,4,lab,0.6286268375386178
265,lab,supervisor,gest_verb,rally,audio,6,lab,0.9991486214259523
266,lab,supervisor,gest_verb,rally,fused,5,lab,0.9618326436048213
267,lab,supervisor,gest_verb,rally,clip,5,lab,0.6548777111087681
268,lab,supervisor,gest_verb,rally,audio,7,lab,0.9994480418641267
269,lab,supervisor,gest_verb,rally,fused,6,lab,0.9797221428295011
270,lab,supervisor,gest_verb,rally,clip,6,lab,0.6885219512299267
271,lab,supervisor,gest_verb,rally,audio,8,lab,0.9982457125366799
272,lab,supervisor,gest_verb,rally,fused,7,lab,0.9825430927492262
273,lab,supervisor,gest_verb,rally,audio,9,lab,0.9998028384693832
274,lab,supervisor,gest_verb,rally,clip,7,lab,0.716585582781762
